Código	Nome	Região	Estado	Município	Coordenadas
SC-33	Andorinhas	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 40" S : Lng 48° 29' 48" W
SC-35	Arco	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 33" S : Lng 48° 30' 17" W
SC-7	Areia Alta	Sul	Santa Catarina	Vidal Ramos	Lat 27° 18' 10" S : Lng 49° 14' 47" W
SC-14	Arroio da Tafona	Sul	Santa Catarina	São Joaquim	Lat 28° 24' 38" S : Lng 50° 22' 1" W
SC-72	Avaí	Sul	Santa Catarina	Capinzal	Lat 27° 21' 48" S : Lng 51° 40' 7" W
SC-73	Avaí II	Sul	Santa Catarina	Capinzal	Lat 27° 21' 42" S : Lng 51° 40' 4" W
SC-70	Avaí Mirim	Sul	Santa Catarina	Capinzal	Lat 27° 21' 42" S : Lng 51° 40' 3" W
SC-31	Baleia	Sul	Santa Catarina	Florianópolis	Lat 27° 46' 6" S : Lng 48° 28' 37" W
SC-1	Botuvera	Sul	Santa Catarina	Botuverá	Lat 27° 13' 25" S : Lng 49° 9' 20" W
SC-5	Botuvera II	Sul	Santa Catarina	Botuverá	Lat 27° 13' 25" S : Lng 49° 9' 20" W
SC-67	Cabras	Sul	Santa Catarina	Florianópolis	Lat 27° 26' 51" S : Lng 48° 21' 41" W
SC-29	Caieira da Barra do Sul	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 53" S : Lng 48° 33' 28" W
SC-77	Caminho da Gurita	Sul	Santa Catarina	Florianópolis	Lat 27° 44' 56" S : Lng 48° 31' 49" W
SC-69	Central Park	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 39" S : Lng 48° 29' 39" W
SC-6	Cinema	Sul	Santa Catarina	Vidal Ramos	Lat 27° 18' 21" S : Lng 49° 15' 16" W
SC-3	Encantada	Sul	Santa Catarina	Penha	Lat 26° 44' 50" S : Lng 48° 38' 20" W
SC-51	Encantada	Sul	Santa Catarina	Florianópolis	Lat 27° 26' 49" S : Lng 48° 21' 40" W
SC-58	Farol de Cabeçudas	Sul	Santa Catarina	Itajaí	Lat 26° 55' 35" S : Lng 48° 37' 20" W
SC-13	Fazenda do Geraldo	Sul	Santa Catarina	Lages	Lat 28° 22' 24" S : Lng 50° 32' 41" W
SC-27	Feiticeiras	Sul	Santa Catarina	Florianópolis	Lat 27° 25' 2" S : Lng 48° 24' 23" W
SC-59	Felicidade	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 8" S : Lng 48° 29' 7" W
SC-37	Fenda	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 26" S : Lng 48° 29' 25" W
SC-2	Fenda Ponta do Varrido	Sul	Santa Catarina	Penha	Lat 26° 47' 40" S : Lng 48° 35' 50" W
SC-38	Flores	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 33" S : Lng 48° 30' 17" W
SC-22	Furna do Lui	Sul	Santa Catarina	Florianópolis	Lat 27° 45' 16" S : Lng 48° 29' 58" W
SC-75	Gravatá	Sul	Santa Catarina	Florianópolis	Lat 27° 45' 45" S : Lng 48° 28' 48" W
SC-45	Grota do Riacho I	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 28" S : Lng 48° 29' 33" W
SC-46	Grota do Riacho II	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 29" S : Lng 48° 29' 35" W
SC-24	Gruta da Trilha do Saquinho I	Sul	Santa Catarina	Florianópolis	Lat 27° 48' 8" S : Lng 48° 32' 15" W
SC-25	Gruta da Trilha do Saquinho II	Sul	Santa Catarina	Florianópolis	Lat 27° 48' 7" S : Lng 48° 32' 15" W
SC-26	Gruta das Pedras Grandes	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 19" S : Lng 48° 29' 56" W
SC-23	Gruta do Muro de Pedras	Sul	Santa Catarina	Florianópolis	Lat 27° 44' 47" S : Lng 48° 31' 21" W
SC-21	Gruta do Peri	Sul	Santa Catarina	Florianópolis	Lat 27° 44' 60" S : Lng 48° 32' 22" W
SC-19	Gruta do Saco Grande	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 12" S : Lng 48° 29' 49" W
SC-20	Gruta dos Buracos	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 13" S : Lng 48° 29' 46" W
SC-81	Inferno	Sul	Santa Catarina	Florianópolis	Lat 27° 48' 29" S : Lng 48° 32' 10" W
SC-65	Ingleses	Sul	Santa Catarina	Florianópolis	Lat 27° 26' 11" S : Lng 48° 21' 46" W
SC-76	Jararaca	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 7" S : Lng 48° 29' 49" W
SC-52	Jorda	Sul	Santa Catarina	Palhoça	Lat 27° 49' 4" S : Lng 48° 37' 31" W
SC-50	Lagoinha do Leste	Sul	Santa Catarina	Florianópolis	Lat 27° 46' 11" S : Lng 48° 28' 45" W
SC-78	Lajão	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 20" S : Lng 48° 29' 56" W
SC-18	Laje	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 13" S : Lng 48° 29' 53" W
SC-55	Larvas	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 21" S : Lng 48° 29' 41" W
SC-63	Matadeiro	Sul	Santa Catarina	Florianópolis	Lat 27° 45' 12" S : Lng 48° 30' 2" W
SC-53	Medo	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 41" S : Lng 48° 29' 50" W
SC-61	Monte Verde	Sul	Santa Catarina	Florianópolis	Lat 27° 33' 43" S : Lng 48° 29' 6" W
SC-56	Morcego	Sul	Santa Catarina	Itajaí	Lat 26° 55' 50" S : Lng 48° 37' 30" W
SC-4	Morcegos	Sul	Santa Catarina	Penha	Lat 26° 48' 10" S : Lng 48° 34' 60" W
SC-43	Morcegos	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 19" S : Lng 48° 30' 28" W
SC-44	Nega	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 22" S : Lng 48° 30' 27" W
SC-68	Oiteiro	Sul	Santa Catarina	Florianópolis	Lat 27° 38' 23" S : Lng 48° 28' 47" W
SC-30	Pântano do Sul	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 41" S : Lng 48° 29' 56" W
SC-32	Pântano do Sul	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 37" S : Lng 48° 29' 57" W
SC-47	Pastinho	Sul	Santa Catarina	Florianópolis	Lat 27° 49' 57" S : Lng 48° 33' 1" W
SC-42	Pedra Preta	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 39" S : Lng 48° 29' 45" W
SC-15	Perau do Caixão	Sul	Santa Catarina	São Joaquim	Lat 28° 24' 54" S : Lng 50° 23' 41" W
SC-12	Perauzinho da Santa	Sul	Santa Catarina	Lages	Lat 28° 24' 12" S : Lng 50° 28' 25" W
SC-28	Pinturas	Sul	Santa Catarina	Florianópolis	Lat 27° 35' 54" S : Lng 48° 25' 58" W
SC-39	Poço	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 39" S : Lng 48° 29' 38" W
SC-66	Ponta do Frade	Sul	Santa Catarina	Florianópolis	Lat 27° 50' 17" S : Lng 48° 33' 33" W
SC-40	Ponta do Fuzil	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 28" S : Lng 48° 29' 29" W
SC-36	Ponta do Marisco	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 33" S : Lng 48° 30' 16" W
SC-49	Ponta do Quebra-Remo	Sul	Santa Catarina	Florianópolis	Lat 27° 45' 22" S : Lng 48° 29' 14" W
SC-10	Praia Brava	Sul	Santa Catarina	Florianópolis	Lat 27° 23' 32" S : Lng 48° 24' 52" W
SC-57	Praia da Solidão	Sul	Santa Catarina	Itajaí	Lat 26° 55' 48" S : Lng 48° 37' 29" W
SC-64	Preta	Sul	Santa Catarina	Florianópolis	Lat 27° 45' 27" S : Lng 48° 29' 15" W
SC-54	Rapa	Sul	Santa Catarina	Florianópolis	Lat 27° 23' 1" S : Lng 48° 24' 59" W
SC-11	Rei	Sul	Santa Catarina	Florianópolis	Lat 27° 23' 24" S : Lng 48° 24' 48" W
SC-80	Riacho Subterrâneo	Sul	Santa Catarina	Florianópolis	Lat 27° 31' 52" S : Lng 48° 30' 33" W
SC-62	Rio Valdik	Sul	Santa Catarina	Florianópolis	Lat 27° 33' 41" S : Lng 48° 29' 9" W
SC-16	Santa Rosa	Sul	Santa Catarina	Lages	Lat 28° 22' 42" S : Lng 50° 36' 51" W
SC-41	Santinho	Sul	Santa Catarina	Florianópolis	Lat 27° 26' 40" S : Lng 48° 21' 39" W
SC-71	Santo Anjo	Sul	Santa Catarina	Alfredo Wagner	Lat 27° 48' 1" S : Lng 49° 16' 40" W
SC-48	Saquinho	Sul	Santa Catarina	Florianópolis	Lat 27° 48' 33" S : Lng 48° 32' 12" W
SC-17	Sistema de Cavernas da Água Corrente	Sul	Santa Catarina	Florianópolis	Lat 27° 32' 10" S : Lng 48° 29' 52" W
SC-9	Sombrio	Sul	Santa Catarina	Sombrio	Lat 29° 7' 24" S : Lng 49° 39' 9" W
SC-79	Trilha da Ponta da Bota	Sul	Santa Catarina	Florianópolis	Lat 27° 23' 14" S : Lng 48° 24' 51" W
SC-34	Urubu	Sul	Santa Catarina	Florianópolis	Lat 27° 47' 41" S : Lng 48° 29' 53" W
SC-8	Vargem Grande	Sul	Santa Catarina	Botuverá	Lat 27° 15' 53" S : Lng 49° 12' 22" W
SC-74	Votorantim 1	Sul	Santa Catarina	Botuverá	Lat 27° 16' 32" S : Lng 49° 13' 22" W